id_cliente,departamento,ingreso_mensual,saldo_tarjeta,score_infocorp,target_default,edad_cliente,antiguedad_bancaria_meses,uso_canal_digital,uso_canal_digital_ord,cluster,prob_default,pred_default,decision_crediticia,nivel_riesgo
CLI-100024,Lima,2145.15,2501.06,366,1,34,54,Alto,2.0,0,0.8255885510401525,1,Denegar/Revisar,Muy alto
CLI-100025,Arequipa,6566.69,426.52,898,0,36,87,Medio,1.0,0,0.007114188757211754,0,Aprobar,Bajo
CLI-100026,Lima,4531.75,7491.21,494,0,45,154,Medio,1.0,1,0.6932802948161022,1,Denegar/Revisar,Alto
CLI-100027,Piura,1798.87,3173.06,219,1,42,51,Medio,1.0,0,0.9576069543704042,1,Denegar/Revisar,Muy alto
CLI-100028,Piura,3368.61,3689.94,345,1,43,201,Medio,1.0,1,0.8429541472578816,1,Denegar/Revisar,Muy alto
CLI-100029,Lima,1025.0,11089.8,667,0,43,105,Bajo,0.0,1,0.6909950730886542,1,Denegar/Revisar,Alto
CLI-100030,Piura,1025.0,12653.938750000001,137,1,62,130,Bajo,0.0,1,0.9976657116969487,1,Denegar/Revisar,Muy alto
CLI-100031,Lima,2062.57,22.4,344,1,34,44,Alto,2.0,0,0.7784684887660631,1,Denegar/Revisar,Muy alto
CLI-100032,Lima,1577.77,8179.88,120,1,33,19,Alto,2.0,0,0.994477102989882,1,Denegar/Revisar,Muy alto
CLI-100033,Cusco,4737.52,1340.5,209,1,30,89,Medio,1.0,0,0.8949527962279724,1,Denegar/Revisar,Muy alto
CLI-100034,Cusco,1038.72,2786.75,705,0,45,47,Medio,1.0,0,0.20638622108987664,1,Denegar/Revisar,Bajo
CLI-100035,Loreto,3600.67,917.08,493,1,51,134,Bajo,0.0,1,0.4233717659234236,1,Denegar/Revisar,Medio
CLI-100036,Lima,4196.59,1409.5,509,0,38,144,Alto,2.0,0,0.379109970088288,1,Denegar/Revisar,Medio
CLI-100037,Lima,4339.41,4641.72,747,0,30,14,Medio,1.0,0,0.10764734980263958,0,Aprobar,Bajo
CLI-100038,Arequipa,3659.34,2245.48,842,0,30,48,Medio,1.0,0,0.033750399570615146,0,Aprobar,Bajo
CLI-100039,Lima,5792.73,3946.11,107,1,47,131,Medio,1.0,1,0.9678487354100638,1,Denegar/Revisar,Muy alto
CLI-100040,Lima,4512.11,6939.45,543,1,48,115,Bajo,0.0,1,0.5701231819057861,1,Denegar/Revisar,Alto
CLI-100041,Lima,5188.24,1667.05,427,1,46,187,Alto,2.0,1,0.5250266174898945,1,Denegar/Revisar,Alto
CLI-100042,Lima,4395.8,3360.47,986,0,32,39,Medio,1.0,0,0.00955872918082297,0,Aprobar,Bajo
CLI-100043,Cusco,2462.63,6012.89,389,1,41,91,Alto,2.0,0,0.8815194213996668,1,Denegar/Revisar,Muy alto
CLI-100044,Lima,3425.81,5022.79,862,0,40,167,Alto,2.0,0,0.05402096264965241,0,Aprobar,Bajo
CLI-100045,Arequipa,5111.5,3104.75,610,0,42,158,Alto,2.0,0,0.2149939733283412,1,Denegar/Revisar,Bajo
CLI-100046,Lima,4579.12,1934.03,460,0,49,120,Bajo,0.0,1,0.4970863259815247,1,Denegar/Revisar,Medio
CLI-100047,Piura,3568.09,2093.63,698,0,41,136,Medio,1.0,1,0.11769110086664557,0,Aprobar,Bajo
CLI-100048,Piura,4837.38,2270.54,815,0,47,50,Bajo,0.0,1,0.03453201450520125,0,Aprobar,Bajo
CLI-100049,Lima,4579.93,1716.03,318,1,40,103,Medio,1.0,1,0.7748181318692948,1,Denegar/Revisar,Muy alto
CLI-100050,Cusco,2664.11,4803.59,505,1,42,118,Alto,2.0,0,0.6494399209700535,1,Denegar/Revisar,Alto
CLI-100051,Arequipa,3688.91,536.02,852,0,46,305,Bajo,0.0,1,0.022365191738237773,0,Aprobar,Bajo
CLI-100052,Cusco,5031.96,12653.938750000001,931,0,24,8,Alto,2.0,0,0.08944048068576908,0,Aprobar,Bajo
CLI-100053,Loreto,1555.01,6038.11,869,0,35,133,Alto,2.0,0,0.09279387043263888,0,Aprobar,Bajo
CLI-100054,Piura,4638.39,1416.22,720,0,34,101,Alto,2.0,0,0.07084448444496416,0,Aprobar,Bajo
CLI-100055,Cusco,2546.43,173.92,867,0,32,13,Medio,1.0,0,0.022572470509849236,0,Aprobar,Bajo
CLI-100056,Lima,5698.48,4969.51,893,0,37,90,Alto,2.0,0,0.024309872896616055,0,Aprobar,Bajo
CLI-100057,Lima,3655.12,5302.44,319,1,55,301,Bajo,0.0,1,0.9035070953522983,1,Denegar/Revisar,Muy alto
CLI-100058,Lima,2842.25,12653.938750000001,694,0,29,55,Bajo,0.0,0,0.6013003339836145,1,Denegar/Revisar,Alto
CLI-100059,Lima,1025.0,1170.54,206,1,49,254,Bajo,0.0,1,0.9541110028637253,1,Denegar/Revisar,Muy alto
CLI-100060,Lima,3655.12,345.39,680,0,20,12,Alto,2.0,0,0.10006183346848403,0,Aprobar,Bajo
CLI-100061,Lima,3518.11,9866.76,708,0,35,72,Alto,2.0,0,0.39732220209151964,1,Denegar/Revisar,Medio
CLI-100062,Loreto,5137.09,1197.12,823,0,41,11,Alto,2.0,0,0.024079761915884887,0,Aprobar,Bajo
CLI-100063,Lima,3621.09,5113.8,385,1,45,181,Bajo,0.0,1,0.830015229840109,1,Denegar/Revisar,Muy alto
CLI-100064,Lima,3751.5,250.31,848,0,47,174,Medio,1.0,1,0.02076605142790414,0,Aprobar,Bajo
CLI-100065,Piura,2849.92,5718.22,107,0,47,272,Medio,1.0,1,0.988589258811135,1,Denegar/Revisar,Muy alto
CLI-100066,Lima,2626.77,543.4,905,0,35,148,Medio,1.0,1,0.016868751236566067,0,Aprobar,Bajo
CLI-100067,Loreto,4319.82,4757.47,288,1,34,54,Alto,2.0,0,0.9053635110660069,1,Denegar/Revisar,Muy alto
CLI-100068,Lima,5286.94,3040.08,180,1,49,210,Bajo,0.0,1,0.9360954783131272,1,Denegar/Revisar,Muy alto
CLI-100069,Cusco,1117.6,12448.0,207,1,36,84,Alto,2.0,0,0.9954113169405616,1,Denegar/Revisar,Muy alto
CLI-100070,Arequipa,1025.0,150.47,420,1,24,20,Alto,2.0,0,0.6924554117993802,1,Denegar/Revisar,Alto
CLI-100071,Lima,3252.87,1381.52,678,0,26,39,Alto,2.0,0,0.13404917190987703,0,Aprobar,Bajo
CLI-100072,Lima,2237.79,288.17,785,0,28,51,Alto,2.0,0,0.0539247175135667,0,Aprobar,Bajo
CLI-100073,Loreto,1475.67,8454.4,445,1,44,81,Medio,1.0,1,0.8991407789056195,1,Denegar/Revisar,Muy alto
CLI-100074,Arequipa,2320.97,3604.63,962,0,40,139,Bajo,0.0,1,0.02095786007500458,0,Aprobar,Bajo
CLI-100075,Arequipa,3063.6,3062.61,427,1,46,148,Bajo,0.0,1,0.7084603719665256,1,Denegar/Revisar,Alto
CLI-100076,Arequipa,3190.87,563.76,654,0,34,139,Medio,1.0,1,0.13737380334047003,0,Aprobar,Bajo
CLI-100077,Lima,4655.89,2685.8,798,0,41,110,Medio,1.0,1,0.04394301211777539,0,Aprobar,Bajo
CLI-100078,Lima,2457.48,2034.67,401,1,45,49,Medio,1.0,0,0.7343678151832685,1,Denegar/Revisar,Alto
CLI-100079,Lima,1273.04,1517.74,299,1,35,103,Alto,2.0,0,0.8982474108287205,1,Denegar/Revisar,Muy alto
CLI-100080,Loreto,4458.68,5916.95,992,0,44,155,Medio,1.0,1,0.015191959563802943,0,Aprobar,Bajo
CLI-100081,Piura,1948.17,252.94,518,1,31,43,Medio,1.0,0,0.41611099604493884,1,Denegar/Revisar,Medio
CLI-100082,Lima,3544.26,4161.59,138,1,35,80,Alto,2.0,0,0.9763289281483608,1,Denegar/Revisar,Muy alto
CLI-100083,Lima,3655.12,6926.26,831,0,35,35,Alto,2.0,0,0.09768060269841333,0,Aprobar,Bajo
CLI-100084,Lima,1025.0,9513.86,406,0,25,27,Medio,1.0,0,0.946943646760325,1,Denegar/Revisar,Muy alto
CLI-100085,Lima,1025.0,5480.37,103,1,43,79,Bajo,0.0,1,0.9926884243731527,1,Denegar/Revisar,Muy alto
CLI-100086,Arequipa,3336.52,1327.68,732,0,34,63,Medio,1.0,0,0.08006589776202444,0,Aprobar,Bajo
CLI-100087,Piura,3963.31,3670.24,947,0,39,129,Alto,2.0,0,0.016781009219383154,0,Aprobar,Bajo
CLI-100088,Loreto,3600.67,609.83,176,0,44,239,Alto,2.0,1,0.9308553417063911,1,Denegar/Revisar,Muy alto
CLI-100089,Lima,2786.95,497.99,567,1,44,44,Medio,1.0,0,0.28063722440039546,1,Denegar/Revisar,Medio
CLI-100090,Lima,1786.24,4071.35,278,1,46,284,Bajo,0.0,1,0.9424105109229032,1,Denegar/Revisar,Muy alto
CLI-100091,Arequipa,6137.91,7618.13,744,0,39,104,Alto,2.0,0,0.13739124477511172,0,Aprobar,Bajo
CLI-100092,Arequipa,6097.33,278.46,922,0,35,44,Medio,1.0,0,0.006144574554929196,0,Aprobar,Bajo
CLI-100093,Piura,5659.3,448.21,840,0,39,174,Medio,1.0,1,0.015078375037205856,0,Aprobar,Bajo
CLI-100094,Arequipa,3713.34,3335.23,375,1,20,16,Alto,2.0,0,0.7828801180956512,1,Denegar/Revisar,Muy alto
CLI-100095,Lima,3584.76,984.69,251,1,23,47,Alto,2.0,0,0.8785952521692211,1,Denegar/Revisar,Muy alto
CLI-100096,Piura,1818.2,3785.13,263,1,24,53,Alto,2.0,0,0.9462392821545703,1,Denegar/Revisar,Muy alto
CLI-100097,Lima,3494.54,965.96,389,1,28,12,Bajo,0.0,0,0.668545328977416,1,Denegar/Revisar,Alto
CLI-100098,Lima,2044.2,495.37,477,0,43,138,Medio,1.0,1,0.5186842048922504,1,Denegar/Revisar,Alto
CLI-100099,Lima,2360.09,3154.89,720,0,29,55,Alto,2.0,0,0.1573676989854263,0,Aprobar,Bajo
CLI-100100,Lima,1547.77,7927.67,737,0,34,130,Medio,1.0,0,0.3363798074473869,1,Denegar/Revisar,Medio
CLI-100101,Piura,4811.11,4622.28,851,0,54,171,Bajo,0.0,1,0.04047753908953645,0,Aprobar,Bajo
CLI-100102,Lima,3563.51,6830.96,409,1,35,93,Medio,1.0,0,0.8452879364996022,1,Denegar/Revisar,Muy alto
CLI-100103,Piura,3021.67,1238.81,488,1,47,73,Medio,1.0,1,0.4754626064916883,1,Denegar/Revisar,Medio
CLI-100104,Cusco,3761.29,8685.48,956,0,29,89,Medio,1.0,0,0.04362699779874413,0,Aprobar,Bajo
CLI-100105,Lima,3655.12,1893.09,757,0,37,6,Medio,1.0,0,0.06720134497461477,0,Aprobar,Bajo
CLI-100106,Lima,4610.6,7654.29,863,0,29,44,Medio,1.0,0,0.06723880721855875,0,Aprobar,Bajo
CLI-100107,Arequipa,2590.69,2548.4,282,1,35,38,Alto,2.0,0,0.9045889470510146,1,Denegar/Revisar,Muy alto
CLI-100108,Lima,5684.0,1247.12,920,0,49,156,Alto,2.0,1,0.008763995502784063,0,Aprobar,Bajo
CLI-100109,Lima,3529.32,1205.82,405,0,20,3,Alto,2.0,0,0.6443061663223906,1,Denegar/Revisar,Alto
CLI-100110,Lima,3900.68,3354.24,171,1,44,49,Medio,1.0,0,0.957640880535349,1,Denegar/Revisar,Muy alto
CLI-100111,Lima,3125.14,329.23,318,0,41,73,Alto,2.0,0,0.7889992035140667,1,Denegar/Revisar,Muy alto
CLI-100112,Cusco,4408.52,10640.25,818,0,33,92,Alto,2.0,0,0.1836526019771659,0,Aprobar,Bajo
CLI-100113,Loreto,4440.69,1266.87,272,1,23,28,Alto,2.0,0,0.837966698984373,1,Denegar/Revisar,Muy alto
CLI-100114,Piura,3715.42,1635.63,752,0,40,106,Medio,1.0,1,0.06586857359835671,0,Aprobar,Bajo
CLI-100115,Loreto,3949.78,1062.65,371,1,33,59,Alto,2.0,0,0.6868112622474363,1,Denegar/Revisar,Alto
CLI-100116,Loreto,3484.71,12.05,825,0,41,183,Alto,2.0,0,0.0269194277001579,0,Aprobar,Bajo
CLI-100117,Lima,3437.34,4717.77,567,0,39,82,Medio,1.0,0,0.4499024937018846,1,Denegar/Revisar,Medio
CLI-100118,Loreto,5626.29,3571.79,368,1,57,303,Bajo,0.0,1,0.7219729109754177,1,Denegar/Revisar,Alto
CLI-100119,Piura,3698.76,6635.45,119,1,36,55,Alto,2.0,0,0.987682924779735,1,Denegar/Revisar,Muy alto
CLI-100120,Loreto,3041.81,167.5,677,0,27,57,Alto,2.0,0,0.11268046143353432,0,Aprobar,Bajo
CLI-100121,Loreto,4962.38,10560.95,914,0,41,67,Medio,1.0,0,0.07069207689790871,0,Aprobar,Bajo
CLI-100122,Lima,3655.12,1607.21,602,0,41,181,Medio,1.0,1,0.22498748071613162,1,Denegar/Revisar,Bajo
CLI-100123,Lima,2660.21,9770.6,246,1,54,233,Medio,1.0,1,0.9830035269724019,1,Denegar/Revisar,Muy alto
CLI-100124,Lima,3655.12,453.26,528,0,48,228,Alto,2.0,1,0.32128681870671094,1,Denegar/Revisar,Medio
CLI-100125,Lima,3705.86,5449.07,264,0,43,60,Alto,2.0,0,0.9411413664723893,1,Denegar/Revisar,Muy alto
CLI-100126,Loreto,4194.6,3463.89,989,0,55,118,Medio,1.0,1,0.009948740816896267,0,Aprobar,Bajo
CLI-100127,Loreto,3743.22,1773.86,409,1,26,22,Alto,2.0,0,0.6517880680736334,1,Denegar/Revisar,Alto
CLI-100128,Lima,4895.27,329.8,617,0,32,19,Alto,2.0,0,0.13049352902418515,0,Aprobar,Bajo
CLI-100129,Piura,2035.68,3712.81,113,1,28,19,Medio,1.0,0,0.9847958078342349,1,Denegar/Revisar,Muy alto
CLI-100130,Lima,2325.27,107.18,231,1,34,74,Alto,2.0,0,0.9066794989409704,1,Denegar/Revisar,Muy alto
CLI-100131,Lima,4350.44,2782.86,953,0,24,20,Alto,2.0,0,0.012079391767263891,0,Aprobar,Bajo
CLI-100132,Lima,2917.26,3707.47,854,1,46,118,Alto,2.0,0,0.04985135869390876,0,Aprobar,Bajo
CLI-100133,Lima,3559.18,5274.9,538,1,37,61,Alto,2.0,0,0.549549156200175,1,Denegar/Revisar,Alto
CLI-100134,Cusco,4246.34,12653.938750000001,842,0,23,16,Alto,2.0,0,0.21361163434745462,1,Denegar/Revisar,Bajo
CLI-100135,Lima,4521.41,1204.93,839,0,28,53,Alto,2.0,0,0.023948958602404532,0,Aprobar,Bajo
CLI-100136,Piura,4675.33,1556.73,773,0,43,69,Medio,1.0,1,0.04359011621241705,0,Aprobar,Bajo
CLI-100137,Arequipa,1883.33,1669.01,894,0,48,115,Bajo,0.0,1,0.028933765412785306,0,Aprobar,Bajo
CLI-100138,Lima,1296.32,5260.85,362,1,60,66,Bajo,0.0,1,0.9146666799572155,1,Denegar/Revisar,Muy alto
CLI-100139,Cusco,2233.22,10742.37,742,0,70,139,Bajo,0.0,1,0.4372033009592192,1,Denegar/Revisar,Medio
CLI-100140,Cusco,3286.91,12653.938750000001,324,1,43,153,Alto,2.0,0,0.977656642282152,1,Denegar/Revisar,Muy alto
CLI-100141,Lima,2787.44,11661.14,357,1,28,84,Alto,2.0,0,0.9684628712972252,1,Denegar/Revisar,Muy alto
CLI-100142,Lima,1025.0,8460.54,333,1,18,1,Alto,2.0,0,0.9671602880215543,1,Denegar/Revisar,Muy alto
CLI-100143,Lima,6290.57,12653.938750000001,435,1,43,186,Alto,2.0,1,0.8849716309408987,1,Denegar/Revisar,Muy alto
CLI-100144,Lima,1025.0,1886.07,508,1,29,9,Medio,1.0,0,0.5778997401503038,1,Denegar/Revisar,Alto
CLI-100145,Lima,4399.64,11850.84,927,0,35,58,Bajo,0.0,1,0.09478256259837835,0,Aprobar,Bajo
CLI-100146,Piura,3591.06,5725.5,123,1,32,27,Medio,1.0,0,0.9843450842781715,1,Denegar/Revisar,Muy alto
CLI-100147,Piura,3660.39,737.9,370,1,37,61,Medio,1.0,0,0.680206232967615,1,Denegar/Revisar,Alto
CLI-100148,Lima,3847.94,186.12,194,1,51,19,Medio,1.0,1,0.9042795028278326,1,Denegar/Revisar,Muy alto
CLI-100149,Lima,1469.73,965.66,241,1,40,60,Medio,1.0,0,0.9256200507469609,1,Denegar/Revisar,Muy alto
CLI-100150,Cusco,4342.65,6033.87,793,0,38,77,Medio,1.0,0,0.09506769234392018,0,Aprobar,Bajo
CLI-100151,Lima,1025.0,3995.4,817,0,27,47,Medio,1.0,0,0.10535677609788009,0,Aprobar,Bajo
CLI-100152,Lima,4619.84,1016.25,180,1,21,18,Medio,1.0,0,0.9147635400655353,1,Denegar/Revisar,Muy alto
CLI-100153,Lima,3247.31,5417.97,373,0,33,36,Alto,2.0,0,0.8640419193104947,1,Denegar/Revisar,Muy alto
CLI-100154,Cusco,1025.0,609.45,375,1,37,156,Alto,2.0,0,0.790955238487798,1,Denegar/Revisar,Muy alto
CLI-100155,Lima,5407.13,6900.32,982,0,59,351,Bajo,0.0,1,0.017093835672968644,0,Aprobar,Bajo
CLI-100156,Arequipa,6076.23,6322.64,564,0,41,219,Medio,1.0,1,0.39023357316785146,1,Denegar/Revisar,Medio
CLI-100157,Arequipa,3638.81,12653.938750000001,307,1,50,283,Medio,1.0,1,0.9784999568272279,1,Denegar/Revisar,Muy alto
CLI-100158,Lima,2974.68,651.39,395,1,33,64,Medio,1.0,0,0.659494386467447,1,Denegar/Revisar,Alto
CLI-100159,Arequipa,2003.76,9484.01,138,1,25,29,Alto,2.0,0,0.9945192880042062,1,Denegar/Revisar,Muy alto
CLI-100160,Lima,2118.67,1668.75,387,1,28,16,Alto,2.0,0,0.7663927950550943,1,Denegar/Revisar,Muy alto
CLI-100161,Piura,1632.66,2151.83,223,1,30,82,Alto,2.0,0,0.949851223705113,1,Denegar/Revisar,Muy alto
CLI-100162,Piura,3660.39,2527.79,975,0,62,206,Bajo,0.0,1,0.01094110467127474,0,Aprobar,Bajo
CLI-100163,Piura,2375.43,3943.68,382,1,29,108,Alto,2.0,0,0.8396748914920428,1,Denegar/Revisar,Muy alto
CLI-100164,Lima,3919.3,12653.938750000001,977,0,48,80,Medio,1.0,1,0.07362428756631814,0,Aprobar,Bajo
CLI-100165,Loreto,2414.39,3664.75,279,1,29,54,Medio,1.0,0,0.9252290495164179,1,Denegar/Revisar,Muy alto
CLI-100166,Lima,4033.76,10453.64,196,1,49,113,Medio,1.0,1,0.9872850102362918,1,Denegar/Revisar,Muy alto
CLI-100167,Lima,4087.81,1177.64,290,0,43,118,Medio,1.0,1,0.8174069022993624,1,Denegar/Revisar,Muy alto
CLI-100168,Lima,1025.0,2032.73,173,1,36,164,Medio,1.0,1,0.9703364140080444,1,Denegar/Revisar,Muy alto
CLI-100169,Piura,2701.61,2808.75,546,0,38,43,Medio,1.0,0,0.441148253178783,1,Denegar/Revisar,Medio
CLI-100170,Arequipa,6143.84,1559.76,884,0,33,51,Alto,2.0,0,0.01175947827506604,0,Aprobar,Bajo
CLI-100171,Lima,4133.04,12653.938750000001,596,1,44,116,Medio,1.0,1,0.7295244508047815,1,Denegar/Revisar,Alto
CLI-100172,Piura,4321.71,5173.89,660,0,34,90,Bajo,0.0,1,0.24160719315732243,1,Denegar/Revisar,Bajo
CLI-100173,Lima,4024.47,2607.11,583,0,26,25,Alto,2.0,0,0.2901500548090887,1,Denegar/Revisar,Medio
CLI-100174,Piura,4003.51,5566.11,948,0,25,41,Medio,1.0,0,0.023490332828640176,0,Aprobar,Bajo
CLI-100175,Lima,4080.43,2520.26,821,0,41,86,Medio,1.0,1,0.03927452283867033,0,Aprobar,Bajo
CLI-100176,Arequipa,2324.15,69.5,215,1,56,282,Medio,1.0,1,0.9151080393022104,1,Denegar/Revisar,Muy alto
CLI-100177,Lima,5051.6,3133.98,634,0,41,33,Medio,1.0,0,0.17673409123612135,0,Aprobar,Bajo
CLI-100178,Cusco,2301.83,3925.29,197,1,37,9,Alto,2.0,0,0.96784385792259,1,Denegar/Revisar,Muy alto
CLI-100179,Lima,3184.57,12653.938750000001,427,1,42,83,Medio,1.0,1,0.9425494498112423,1,Denegar/Revisar,Muy alto
CLI-100180,Lima,4615.01,166.59,506,0,54,178,Bajo,0.0,1,0.30475404552324903,1,Denegar/Revisar,Medio
CLI-100181,Lima,2832.31,2870.55,412,0,41,41,Alto,2.0,0,0.7391856068200106,1,Denegar/Revisar,Alto
CLI-100182,Cusco,3995.92,413.25,801,0,35,121,Alto,2.0,0,0.03240903082925575,0,Aprobar,Bajo
CLI-100183,Loreto,3548.7,645.35,793,0,51,242,Bajo,0.0,1,0.04036711566056043,0,Aprobar,Bajo
CLI-100184,Lima,2860.0,3771.19,247,1,43,44,Medio,1.0,0,0.93905361977753,1,Denegar/Revisar,Muy alto
CLI-100185,Arequipa,2895.52,1053.61,441,1,56,197,Bajo,0.0,1,0.5917769335849954,1,Denegar/Revisar,Alto
CLI-100186,Loreto,2884.21,5531.99,594,0,41,52,Medio,1.0,0,0.4615641391425616,1,Denegar/Revisar,Medio
CLI-100187,Piura,1682.07,2887.82,122,1,25,42,Alto,2.0,0,0.9825831126173528,1,Denegar/Revisar,Muy alto
CLI-100188,Piura,2649.32,984.69,204,1,24,8,Medio,1.0,0,0.9307761934047473,1,Denegar/Revisar,Muy alto
CLI-100189,Lima,5575.36,2723.23,774,0,58,83,Bajo,0.0,1,0.04645284395320972,0,Aprobar,Bajo
CLI-100190,Lima,3655.12,3.53,678,0,58,84,Bajo,0.0,1,0.09535189375242019,0,Aprobar,Bajo
CLI-100191,Loreto,1933.23,7943.51,901,0,36,82,Alto,2.0,0,0.09401680163696574,0,Aprobar,Bajo
CLI-100192,Cusco,3656.28,51.04,900,0,35,40,Alto,2.0,0,0.01308959655435152,0,Aprobar,Bajo
CLI-100193,Piura,2856.49,28.14,657,0,55,218,Medio,1.0,1,0.13000175108307785,0,Aprobar,Bajo
CLI-100194,Lima,1540.52,3781.89,692,1,26,49,Alto,2.0,0,0.251111495138331,1,Denegar/Revisar,Medio
CLI-100195,Lima,4428.92,12653.938750000001,758,1,29,100,Alto,2.0,0,0.36408811799290614,1,Denegar/Revisar,Medio
CLI-100196,Arequipa,2997.86,7749.92,321,1,46,95,Alto,2.0,0,0.9472218945993022,1,Denegar/Revisar,Muy alto
CLI-100197,Loreto,7442.41,1161.51,954,0,36,112,Alto,2.0,0,0.00417958388146927,0,Aprobar,Bajo
CLI-100198,Loreto,2226.97,875.94,114,1,38,157,Medio,1.0,1,0.971195305663783,1,Denegar/Revisar,Muy alto
CLI-100199,Arequipa,3638.81,3935.2,990,0,37,21,Alto,2.0,0,0.012834406645793911,0,Aprobar,Bajo
CLI-100200,Piura,2654.59,6918.24,732,0,42,78,Bajo,0.0,1,0.25652907069356184,1,Denegar/Revisar,Medio
CLI-100201,Lima,2176.61,1798.16,177,1,54,285,Medio,1.0,1,0.958251201450245,1,Denegar/Revisar,Muy alto
CLI-100202,Lima,4227.49,2265.03,421,0,40,129,Medio,1.0,1,0.6147235997998611,1,Denegar/Revisar,Alto
CLI-100203,Loreto,5369.3,490.88,906,0,47,104,Medio,1.0,1,0.00881772441521214,0,Aprobar,Bajo
CLI-100204,Piura,7569.24,663.4,340,1,18,0,Alto,2.0,0,0.5378965747996968,1,Denegar/Revisar,Alto
CLI-100205,Lima,1025.0,3360.58,117,1,37,76,Medio,1.0,0,0.9865266160588366,1,Denegar/Revisar,Muy alto
CLI-100206,Lima,4363.35,433.26,867,0,30,20,Alto,2.0,0,0.016358024665199478,0,Aprobar,Bajo
CLI-100207,Arequipa,2579.58,902.82,553,1,25,51,Alto,2.0,0,0.34572703706770574,1,Denegar/Revisar,Medio
CLI-100208,Lima,3655.12,1069.83,542,0,29,59,Alto,2.0,0,0.321042287925505,1,Denegar/Revisar,Medio
CLI-100209,Lima,5326.74,2347.41,376,0,36,73,Bajo,0.0,1,0.6660023065881313,1,Denegar/Revisar,Alto
CLI-100210,Piura,4839.17,186.74,523,1,50,168,Medio,1.0,1,0.25531228296687775,1,Denegar/Revisar,Medio
CLI-100211,Arequipa,1838.59,2770.76,575,0,24,12,Alto,2.0,0,0.43098546117150516,1,Denegar/Revisar,Medio
CLI-100212,Arequipa,3638.81,10562.0,126,1,39,126,Medio,1.0,1,0.9940793300903235,1,Denegar/Revisar,Muy alto
CLI-100213,Lima,1025.0,99.07,613,0,33,52,Medio,1.0,0,0.25956655492942776,1,Denegar/Revisar,Medio
CLI-100214,Arequipa,1025.0,3987.67,964,0,34,115,Alto,2.0,0,0.02985160182902877,0,Aprobar,Bajo
